prospect_id,display_name,contact_name,company_name,county,city,utility,property_type,sqft,assessed_value,estimated_system_kw,estimated_annual_kwh,est_monthly_bill,latitude,longitude,stage,sales_temperature,assigned_rep,lead_source,last_contact_days,created_date,roof_confidence,fit_notes,solar_fit_score,close_probability,estimated_annual_savings,priority_rank
1,Maria Lopez,Maria Lopez,,Adams,Othello,Columbia REA,Residential,1619,811858,5.1,7424,84.91,46.804386,-118.434594,New Lead,Warm,Unassigned,Public Parcel,10,2026-02-08,Low,Good ag load profile. Storage could be future upsell.,57.5,0.24,637.0,57
2,Isabel Sanchez,Isabel Sanchez,,Franklin,Pasco,Franklin PUD,Residential,2670,600663,11.9,17276,161.9,46.440774,-119.185571,Lost,Cold,Unassigned,Public Parcel,2,2025-10-22,Medium,Good ag load profile. Storage could be future upsell.,50.4,0.03,1585.0,77
3,Rachel Cooper,Rachel Cooper,,Franklin,Connell,Franklin PUD,Residential,2694,410555,11.7,16998,171.26,46.400853,-119.162934,Site Review Scheduled,Cold,Unassigned,Campaign,14,2025-08-27,Medium,High-value roofline and strong bill-reduction angle.,47.2,0.36,1257.0,83
4,Sarah Diaz,Sarah Diaz,,Benton,Richland,City Utility,Residential,3523,569963,13.5,19617,239.48,46.41992,-119.335894,Contact Made,Cold,Atlas Sales,Referral,14,2026-01-08,Medium,Likely better fit after direct site review.,61.9,0.35,1963.0,47
5,Atlas Prospect Vineyards,Maria Howard,Atlas Prospect Vineyards,Benton,Kennewick,City Utility,Commercial,31666,2951520,302.0,437829,3651.28,46.444585,-119.465023,New Lead,Warm,Unassigned,Business List,29,2025-12-30,High,Good ag load profile. Storage could be future upsell.,99.0,0.42,35596.0,1
6,Isabel Ortiz,Isabel Ortiz,,Franklin,Mesa,Franklin PUD,Residential,3817,772323,14.5,21030,160.26,46.24298,-119.305266,Won,Hot,Unassigned,Referral,15,2025-09-20,High,Promising commercial consumption profile.,66.7,0.67,1514.0,34
7,Riverbend Processing,Luis Taylor,Riverbend Processing,Benton,Richland,Benton PUD,Industrial,79822,7324284,667.2,967479,6123.2,46.103388,-119.291785,Contact Made,Cold,Unassigned,Referral,28,2025-11-05,Low,High-value roofline and strong bill-reduction angle.,94.0,0.53,45331.0,5
8,Elena Diaz,Elena Diaz,,Benton,Kennewick,Benton PUD,Residential,1229,314441,4.8,7000,122.41,46.214458,-119.238579,Negotiation,Cold,Atlas Sales,Campaign,30,2025-11-25,Medium,Strong ownership profile and above-median assessed value.,34.4,0.3,1128.0,97
9,Noah Diaz,Noah Diaz,,Franklin,Connell,Franklin PUD,Residential,3112,296802,10.0,14513,157.5,46.061103,-119.017929,Proposal Sent,Cold,Atlas Sales,Public Parcel,28,2025-09-09,High,High-value roofline and strong bill-reduction angle.,44.1,0.36,1372.0,89
10,Sarah Howard,Sarah Howard,,Grant,Moses Lake,Grant PUD,Residential,3189,744740,10.9,15768,116.69,47.277952,-119.034222,Contact Attempted,Hot,Unassigned,Walk-In,9,2025-11-02,Medium,Good ag load profile. Storage could be future upsell.,58.6,0.28,852.0,53
